District,Murder,"Hurt 
",AssaultonWomen,"KidnappingandAbduction 
",Rape,UnlawfulAssembly,"Theft 
","Burglary 
",ForgeryCheatingFraud ,OffencesRelatingtoDocumentsPropertyMarks ,"RashDrivingonPublicway 
",CriminalTrespass 
Siwan,97,2737,2,295,13,0,1257,129,169,169,41,0
Supaul,33,1801,0,152,11,0,387,42,73,73,20,0
Vaishali,113,3064,20,484,3,0,1283,223,170,170,96,0
Economic Offences Unit,0,0,0,0,0,0,0,0,11,11,0,0
Anti Terrorist Squad,0,0,0,0,0,0,0,0,0,0,0,0
Balod,10,45,32,42,18,0,177,140,43,43,211,0
Balodbazar,27,1170,72,125,33,0,256,243,23,23,276,3
Balrampur,50,91,46,58,76,28,110,74,27,27,91,26
Bemetra,22,46,36,62,25,0,152,131,30,30,236,32
Bilaspur,56,3525,111,302,89,0,892,674,233,233,709,0
Bizapur,36,0,5,13,9,0,26,13,11,11,91,0
Dantewara,27,93,3,15,9,0,53,26,20,20,31,0
Dhamtari,16,87,33,49,23,0,174,152,24,24,176,0
Durg,42,2861,87,249,59,0,845,414,113,114,245,8
Gariyaband,19,669,27,23,21,0,71,61,32,33,163,0
GRP Raipur,2,9,0,6,1,0,209,3,1,1,0,0
Jagdalpur,31,416,21,38,44,0,167,95,50,52,0,0
Janjgir,61,1660,94,189,53,0,405,403,75,76,257,0
Jashpur,55,352,30,55,66,0,186,142,35,36,124,0
Kabirdham,19,970,67,89,26,0,143,106,33,33,197,4
Kanker,28,40,19,39,36,0,65,57,19,19,169,0
Kondagaon,19,117,19,51,10,0,61,43,24,24,9,0
Korba,41,1319,53,101,52,0,252,163,53,54,359,0
Koriya,40,1268,82,68,42,0,119,82,36,36,189,0
Mahasamund,25,585,14,88,30,0,164,116,21,22,226,24
Mungali,16,603,30,56,17,0,111,73,28,29,154,0
Narayanpur,24,60,3,10,9,0,16,14,7,7,43,0
Raigarh,71,1199,79,161,49,0,426,182,78,78,268,0
Raipur,65,3274,123,430,95,0,1548,575,253,253,1317,52
Rajnandgaon,53,1712,65,170,54,0,467,267,64,64,548,84
Sarguja,69,1011,53,100,67,0,750,209,120,120,204,52
Sukma,29,3,0,19,9,0,15,5,10,11,47,0
Surajpur,41,735,33,44,63,0,117,91,37,38,171,2
Gaurela-Pendra-Marwari,13,322,11,29,8,0,103,61,13,13,60,0
North Goa,10,213,45,37,39,5,345,78,50,51,112,35
South Goa,16,101,27,15,30,9,177,55,26,26,142,1
CID,0,0,2,0,3,0,43,0,19,19,0,0
Ahmedabad City,97,1689,141,183,83,4,2622,421,690,697,1849,104
Ahmedabad Rural,26,168,14,24,15,0,196,54,75,76,455,5
Amreli,19,157,17,33,21,0,56,48,28,30,127,13
Anand,29,113,17,40,16,3,190,90,81,81,550,4
Arvalli,14,46,9,58,10,9,190,84,44,45,205,14
Banaskantha,31,165,22,57,37,0,252,83,114,115,657,5
Bharuch,43,192,12,61,18,2,338,109,73,73,2082,17
Bhavnagar,34,310,17,45,21,0,113,85,45,47,294,7
Botad,11,54,4,13,4,0,20,14,17,18,142,3
Chhotaudepur,23,71,10,16,16,0,114,31,20,20,1100,10
CID Crime,1,0,0,0,0,0,5,0,41,41,0,0
Dahod,23,130,8,77,13,0,156,45,36,36,242,2
Dang,2,8,0,0,1,0,6,2,5,5,96,0
Devbhumi Dwarka,12,77,4,21,3,0,47,14,11,11,171,1
Gandhinagar,19,103,14,50,10,0,370,126,132,134,471,7
Gir Somnath,14,108,6,18,14,0,51,29,24,25,139,3
Jamnagar,25,156,11,40,15,0,127,75,25,25,701,11
Junagadh,14,372,11,34,8,0,164,86,46,46,342,8
Kachchh East(G),30,226,15,53,14,0,333,139,104,104,237,17
Kachchh West(B),16,142,26,43,15,0,273,137,94,95,569,12
Kheda,23,99,15,49,11,0,138,61,42,42,473,10
Mahisagar,12,55,16,15,6,1,50,32,22,22,212,4
Mehsana,26,673,13,38,14,3,266,97,72,72,357,3
Morbi,39,167,3,26,6,2,89,50,17,17,1167,7
Narmada,16,52,6,3,8,0,87,22,24,24,164,7
Navsari,10,29,5,6,2,0,80,28,28,28,3138,6
Panchmahal,21,110,11,36,15,0,168,51,32,33,601,3
Patan,15,243,21,20,15,0,212,68,56,56,361,5
Porbandar,8,99,4,6,3,0,25,17,7,7,150,14
Rajkot City,32,183,14,45,10,0,200,43,70,74,314,8
Rajkot Rural,32,136,19,17,16,0,112,66,39,40,638,10
Sabarkantha,20,71,23,53,11,0,306,75,134,134,712,11
Surat City,121,469,43,270,52,3,1555,199,558,560,1554,39
Surat Rural,35,69,9,29,10,0,174,44,63,65,1542,1
Surendranagar,33,190,12,26,15,0,138,43,47,47,331,6
Tapi,10,24,2,5,2,0,32,24,11,11,1913,0
Vadodara City,15,333,33,49,34,3,603,203,145,146,251,13
Vadodara Rural,26,171,31,22,15,0,146,53,98,98,1289,6
Valsad,20,52,12,37,9,0,138,58,110,111,1894,4
W.Rly Ahmedabad,4,12,2,2,0,0,176,4,7,7,1,0
W.Rly Vadodara,9,13,2,1,1,0,343,1,6,6,1,0
Cyber Ahmedabad Range,0,0,5,0,0,0,0,0,27,27,0,0
Cyber Bhavnagar Range,0,0,0,0,0,0,0,0,6,6,0,0
Cyber Border Range,0,0,0,0,0,0,0,0,2,2,0,0
Cyber Gandhinagar Range,0,0,1,0,0,0,1,0,6,6,0,0
Cyber Junagadh Range,0,0,0,0,0,0,0,0,67,67,0,0
Cyber Panchmahal Range,0,0,0,0,0,0,0,0,13,13,0,0
Cyber Rajkot Range,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Surat Range,0,0,0,0,0,0,0,0,1,1,0,0
Cyber Vadodara Range,0,0,0,0,0,0,0,0,2,2,0,0
Ambala,30,208,88,159,59,0,807,419,151,151,197,79
Bhiwani,36,271,128,91,55,0,582,242,184,184,256,92
Faridabad,71,230,118,368,144,0,2669,395,314,314,351,67
Fatehabad,22,141,47,53,36,0,504,314,71,71,127,77
GRP,13,48,4,6,0,0,588,1,3,3,12,0
Gurugram,77,274,234,228,222,0,4842,375,534,536,571,120
Hissar,56,239,320,122,100,0,1164,614,118,120,291,254
Jhajjar,83,173,174,162,45,0,810,358,98,98,256,105
Jind,61,344,84,116,45,0,828,414,216,216,189,122
Kaithal,48,393,72,214,46,0,878,352,88,89,161,74
Karnal,69,412,241,160,130,0,1567,589,480,480,343,191
Kurukshetra,15,236,193,179,76,0,1245,422,229,229,310,79
Mahendergarh,25,123,89,61,36,0,522,244,99,99,222,37
Nuh,30,77,42,81,68,0,704,126,73,73,328,5
Palwal,62,190,89,84,56,0,985,238,203,203,295,51
Panchkula,16,70,56,76,40,0,478,179,191,193,138,33
Panipat,65,556,179,530,126,0,1635,565,380,382,267,62
Rewari,46,254,99,73,64,0,927,264,70,70,255,47
Rohtak,70,151,179,197,66,0,1525,484,487,487,294,85
Sirsa,31,421,59,119,50,0,803,565,99,101,170,165
Sonipat,114,288,162,211,96,0,1011,281,203,203,294,142
Yamunanagar,35,167,149,200,121,0,1431,649,263,264,233,86
Irrigation & Power,0,0,0,0,0,0,0,0,0,0,0,0
Charkhi Dadri,20,108,25,30,14,0,132,68,20,20,77,15
Hansi,17,171,51,34,21,0,374,231,146,147,102,49
Baddi,12,112,23,31,31,0,63,34,54,54,115,22
Bilaspur,3,347,44,22,17,2,31,14,30,30,154,62
Chamba,5,277,43,20,24,0,9,13,19,19,42,58
CID,0,0,0,0,0,0,0,0,4,4,0,0
GRP,1,1,0,0,0,0,1,0,0,0,0,0
Hamirpur,0,314,40,32,8,3,19,17,14,14,75,72
Kangra,14,694,91,67,58,3,67,59,58,59,283,199
Kinnaur,2,49,2,12,6,0,7,5,6,6,24,12
Kullu,6,245,26,19,18,0,24,24,19,19,120,78
Lahaul & Spiti,0,14,0,1,1,0,1,0,0,0,11,2
Mandi,13,780,75,60,57,1,36,13,46,46,222,116
Shimla,9,432,50,69,57,10,76,48,59,59,254,100
Sirmaur,3,46,52,37,50,3,65,43,29,30,188,68
Solan,7,27,26,38,16,1,48,11,34,36,125,46
Una,11,66,15,22,15,2,28,11,28,28,137,47
Cyber,0,0,0,0,0,0,0,0,0,0,0,0
Anantnag,8,53,113,53,13,0,120,117,30,31,254,47
Awantipora,0,54,42,19,1,0,34,28,12,12,105,40
Bandipora,4,163,43,30,10,0,37,20,8,8,65,0
Baramulla,5,157,124,56,13,0,98,63,37,37,198,45
Budgam,4,55,217,70,17,0,105,99,34,35,149,223
Crime Jammu,0,0,0,0,0,0,0,0,32,32,0,0
Crime Srinagar,0,0,0,0,0,0,0,0,41,41,0,0
Doda,6,132,28,35,10,0,20,24,7,7,210,71
Ganderbal,2,123,72,28,1,0,60,29,17,17,108,20
Handwara,1,92,29,32,0,0,69,26,12,13,89,6
Jammu,18,1027,106,139,53,0,512,277,111,113,944,246
Kathua,6,39,18,44,9,0,93,60,16,16,339,105
Kishtwar,4,78,16,22,4,0,9,16,10,10,92,38
Kulgam,5,29,191,39,23,0,97,50,18,18,109,0
Kupwara,2,24,152,50,18,0,80,42,13,14,133,0
Poonch,8,227,76,38,23,0,39,38,23,23,202,197
Pulwama,3,119,54,22,8,0,72,34,15,15,64,21
Railways Jammu,0,2,0,0,0,0,3,0,0,0,0,0
Railways Kashmir,0,0,0,0,0,0,4,0,0,0,0,0
Railways Katra,0,0,0,0,0,0,3,0,0,0,2,0
Rajouri,13,438,64,60,32,0,66,72,30,30,313,305
Ramban,1,98,29,18,11,0,29,30,9,9,244,10
Reasi,7,14,22,28,12,0,56,24,9,9,213,55
Samba,2,9,11,31,12,0,106,76,25,26,286,76
Shopian,1,27,69,32,5,0,112,28,9,10,61,0
Sopore,4,142,118,48,7,0,108,64,10,10,78,25
Srinagar,23,439,204,86,17,0,378,219,55,55,297,20
Udhampur,9,14,53,33,16,0,87,49,7,7,327,113
Cyber Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Crime Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
Anti Narcotic Task Force Jammu,0,0,0,0,0,0,0,0,0,0,0,0
Bokaro,57,915,45,129,110,29,716,113,144,144,33,0
Chaibasa,109,58,15,15,80,0,141,29,30,31,29,0
Chatra,46,520,26,39,28,0,185,32,49,49,35,0
Deoghar,70,316,100,99,51,0,542,89,83,83,57,0
Dhanbad,71,272,77,87,115,0,1226,166,181,181,147,0
Dhanbad Railway,3,13,0,2,0,0,286,0,1,1,1,0
Dumka,57,205,63,68,33,0,309,86,24,24,71,13
Garhwa,102,524,146,136,52,0,218,70,87,87,64,0
Giridih,74,506,160,63,61,0,368,65,108,108,0,0
Godda,56,169,92,110,81,0,249,74,92,93,47,0
Gumla,120,72,8,53,65,0,164,25,41,41,28,9
Hazaribagh,85,1062,32,83,106,0,527,139,385,385,88,0
Jamshedpur,89,1490,66,181,93,0,805,128,455,455,0,0
Jamshedpur Railway,2,7,2,2,0,0,101,1,0,0,0,0
Jamtara,28,122,28,22,21,1,81,23,19,19,16,10
Khunti,61,7,4,20,21,0,124,13,41,41,115,0
Koderma,25,326,43,59,11,0,152,16,55,56,37,0
Latehar,42,106,44,39,34,0,97,37,58,58,28,7
Lohardagga,22,188,5,36,30,0,104,29,36,36,30,0
Pakur,36,55,16,54,55,0,101,10,28,28,0,0
Palamu,87,706,136,112,49,2,297,89,104,104,83,0
Ramgarh,28,166,11,37,25,1,197,32,100,100,58,0
Ranchi,163,1292,63,209,206,0,1966,415,259,259,43,0
Sahebganj,48,187,133,44,46,0,159,27,69,69,25,0
Saraikela,54,185,17,40,21,0,325,66,120,120,53,2
Simdega,38,5,3,28,31,0,64,12,12,13,30,0
Bagalkot,39,172,153,37,7,0,218,96,90,90,481,19
Bengaluru City,155,2167,585,811,117,0,6066,789,2532,2552,2654,323
Bengaluru District,51,526,121,168,17,0,1060,254,341,342,1246,97
Belagavi District,92,427,317,87,26,0,433,191,162,162,1049,48
Ballari,40,313,141,76,13,0,548,152,154,154,734,41
Bidar,41,579,39,38,5,0,286,156,48,49,828,54
Vijayapura,76,273,141,73,15,0,326,126,97,99,511,14
Chikkaballapura,44,429,98,45,14,0,239,113,87,87,400,52
Chamarajnagar,22,257,160,18,6,0,96,57,32,32,343,8
Chikkamagaluru,24,566,164,77,19,0,229,87,68,68,637,63
Chitradurga,24,471,294,105,17,0,232,116,76,77,1112,28
Dakshina Kannada,9,265,52,27,15,0,84,57,43,43,616,28
Davanagere,33,277,151,105,14,0,465,151,110,110,735,63
Dharwad,18,110,33,18,5,0,114,48,27,27,252,17
Gadag,11,128,49,38,5,0,86,44,27,27,155,7
Kalaburgi,41,371,124,55,15,0,369,98,23,24,497,29
Hassan,52,889,221,79,18,0,364,120,114,114,1392,41
Haveri,23,251,63,24,12,0,250,101,72,72,535,13
Hubballi Dharwad City,14,200,55,47,12,0,314,150,99,101,323,16
K.G.F.,15,129,19,13,5,0,75,34,23,23,70,1
Kodagu,19,306,43,43,4,0,107,58,43,43,322,26
Kolar,28,341,80,46,8,0,255,78,81,81,384,37
Koppal,14,143,82,30,12,0,214,87,38,38,374,43
Mandya,54,901,315,133,11,0,448,170,116,116,1325,67
Mangaluru City,12,177,63,26,13,0,181,68,122,123,674,24
Mysuru City,23,281,53,63,8,0,445,128,177,177,534,36
Mysuru District,57,786,227,84,13,0,453,233,119,119,963,58
Raichur,36,249,228,33,28,0,342,58,108,108,398,39
K.Railways,18,14,4,2,1,0,764,1,7,8,1,0
Ramanagara,55,580,166,82,9,0,432,143,175,175,814,80
Shimoga,37,724,294,99,19,0,393,185,180,181,981,74
Tumakuru,70,791,157,134,16,0,478,235,198,200,1424,83
Udupi,10,220,61,25,6,0,103,82,100,101,821,33
Uttara Kannada,19,266,130,39,4,0,109,89,41,42,760,17
Yadgiri,21,179,143,31,19,0,141,42,33,33,283,27
Belagavi City,21,137,31,27,9,0,209,117,105,105,319,21
Kalaburgi City,39,195,48,41,18,0,212,104,66,66,340,13
Alapuzha,24,1059,264,16,34,60,147,86,272,273,8741,188
Ernakulam Commr.,10,495,182,13,73,150,230,76,416,418,3292,41
Ernakulam Rural,20,1124,303,28,41,135,232,131,377,380,11464,269
Idukki,17,912,170,18,37,56,115,56,179,180,4471,56
Kannur City,12,458,98,12,20,0,57,67,128,129,1197,91
Kasargod,11,485,142,25,35,67,96,78,99,102,1727,60
Kollam Commr.,13,765,184,11,21,0,128,73,174,174,2535,65
Kollam Rural,28,786,259,10,38,7,107,67,198,199,5819,54
Kottayam,22,895,200,22,39,286,141,103,288,289,15417,39
Kozhikode Commr.,5,518,160,21,37,24,227,128,294,294,2550,76
Kozhikode Rural,12,843,249,31,33,1,88,96,164,165,1909,122
Malappuram,15,1041,366,45,69,147,193,161,282,282,2573,32
Palakkad,23,1161,226,27,52,27,159,140,265,265,4916,58
Pathanamthitta,13,839,156,6,27,207,100,76,538,540,4455,78
Railways,0,20,34,0,2,0,149,0,1,1,0,0
Thrissur Commr.,17,768,157,9,33,101,154,103,445,447,4230,49
Thrissur Rural,17,824,211,16,35,164,124,73,315,316,2572,36
Trivandrum Commr.,15,619,158,11,30,121,255,94,238,242,2580,44
Trivandrum Rural,38,1163,366,22,72,194,256,221,273,274,3396,50
Wayanadu,12,453,98,17,27,9,103,51,121,121,721,12
Crime Branch,0,1,0,0,2,0,1,0,27,27,0,0
Kannur Rural,13,350,76,4,14,2,57,67,120,121,760,45
Agar,12,1045,50,31,12,0,170,63,12,12,211,4
Alirajpur,51,790,32,59,43,0,127,40,19,19,296,0
Anuppur,41,1183,51,107,44,0,258,107,67,67,223,5
Ashok Nagar,30,1732,84,73,27,0,187,92,22,22,374,44
Balaghat,46,2509,125,183,87,0,338,212,28,30,529,77
Barwani,41,1379,73,81,35,0,200,72,69,69,573,11
Betul,60,1922,33,129,26,0,259,100,40,40,625,42
Bhind,32,2395,112,118,31,0,415,220,82,82,644,10
Bhopal,65,6018,350,553,240,3,1944,691,700,704,2580,205
Bhopal Railway,2,20,9,7,1,0,1973,7,4,5,0,0
Burhanpur,8,1385,80,58,19,0,145,51,44,45,252,26
Chhatarpur,43,557,122,212,50,0,481,243,38,40,505,115
Chhindwara,73,1765,46,149,68,0,307,65,26,26,779,69
Damoh,34,2538,105,165,31,0,167,154,15,15,478,41
Datia,28,383,53,52,23,0,170,68,46,46,245,52
Dewas,48,3743,143,161,50,0,720,136,74,74,927,38
Dhar,63,3415,196,375,131,0,963,209,73,73,1376,32
Dindori,21,1034,54,114,30,0,62,45,21,21,441,63
Guna,33,2508,161,164,119,0,386,131,42,42,396,52
Gwalior,88,1130,279,316,180,0,2141,718,270,271,1491,276
Harda,18,1409,68,94,27,0,139,68,26,27,250,3
Hoshangabad,49,2629,121,175,63,0,382,145,37,38,591,134
Indore,81,6774,332,830,200,0,4802,757,421,424,3147,141
Indore Railway,0,11,9,8,3,0,524,3,3,3,3,0
Jabalpur,76,6516,295,330,101,0,1023,514,123,126,3467,71
Jabalpur Railway,1,6,5,2,0,0,1381,2,2,2,4,0
Jhabua,26,71,26,107,40,0,132,41,18,19,634,12
Katni,37,2548,84,226,41,0,353,131,94,94,769,90
Khandwa,39,199,135,176,38,0,301,114,39,39,602,0
Khargone,35,2327,137,204,47,0,449,152,44,46,583,21
Mandla,34,152,44,174,33,0,111,86,17,17,600,27
Mandsaur,25,190,136,118,45,0,510,143,55,56,491,7
Morena,44,2034,121,132,67,0,600,201,108,108,718,120
Narsinghpur,32,1551,76,167,39,0,186,95,23,23,496,8
Neemuch,19,1146,43,73,15,0,168,72,34,34,275,25
Panna,27,410,86,180,42,0,206,150,24,24,408,15
Raisen,42,2158,87,262,51,0,271,126,46,46,660,0
Rajgarh,25,942,174,167,74,0,260,100,44,45,619,0
Ratlam,34,349,103,221,44,0,476,150,92,93,960,85
Rewa,57,1337,97,430,61,0,1159,619,119,120,1264,112
Sagar,73,5419,188,295,87,0,447,258,87,87,1171,189
Satna,58,647,85,365,51,0,431,189,62,62,1280,76
Seoni,33,454,76,181,35,0,182,77,39,39,559,135
Shahdol,40,2413,74,207,42,0,606,202,67,68,419,116
Shajapur,10,1574,93,56,31,0,220,65,22,22,293,10
Sheopur,9,705,32,27,18,0,134,53,9,9,109,34
Shivpuri,58,1025,190,183,95,0,471,204,69,69,655,14
Sidhi,28,478,25,194,32,0,397,149,31,31,549,0
Sehore,33,351,122,111,54,0,437,143,91,91,719,84
Singrauli,44,367,49,110,32,0,398,85,78,78,440,83
Tikamgarh,23,1729,46,109,27,0,181,60,26,26,231,6
Ujjain,37,2271,192,216,55,0,1106,241,123,123,1235,64
Umaria,15,1072,40,61,30,0,96,76,18,18,249,0
Vidisha,41,1791,166,172,67,0,497,227,46,46,805,43
Cyber Crime Cell,0,0,0,0,0,0,0,0,0,0,0,0
Niwari,12,779,45,41,13,0,54,27,28,28,122,57
Ahmednagar,101,2554,668,449,87,18,3123,796,314,315,690,174
Akola,36,1437,202,98,41,12,815,89,87,87,248,58
Amravati Commr.,21,730,210,114,57,40,840,210,111,112,331,47
Amravati Rural,49,1375,186,152,37,19,962,161,95,95,339,32
Aurangabad Commr.,35,1084,172,166,49,28,1391,146,269,270,365,88
Aurangabad Rural,41,1056,190,100,29,15,1071,152,75,75,259,51
Beed,59,1309,339,128,59,18,1256,231,203,203,305,80
Bhandara,30,486,78,74,29,12,477,125,44,45,340,55
Buldhana,47,2059,325,137,43,38,1241,247,100,100,307,133
Chandrapur,48,1362,198,215,41,9,893,204,111,111,724,103
Dhule,40,546,74,123,14,4,601,194,94,94,373,34
Gadchiroli,39,295,42,50,14,5,262,96,47,47,118,15
Gondia,30,464,89,76,33,29,397,113,54,54,171,33
Hingoli,23,674,84,43,16,6,367,82,43,43,153,62
Jalgaon,63,927,269,226,42,15,1781,401,271,273,333,73
Jalna,54,1244,313,106,35,61,1255,217,208,208,122,37
Kolhapur,50,1137,273,211,74,73,1541,318,197,199,675,127
Latur,56,1317,133,136,27,31,858,196,88,89,388,117
Mumbai Commr.,162,4594,1625,1590,364,17,7820,1684,4899,4914,2282,95
Mumbai Railway,10,60,35,10,5,1,5839,6,64,64,1,0
Nagpur Commr.,95,1186,253,415,115,45,2590,793,488,494,799,81
